               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,             0.11046,             0.16938,           0.0058191,             0.72736,             0.59248,             0.61175,                 0.2,            0.095877,             0.12295,           0.0049528,              0.0085,              0.0085,              0.0085
                  52,             0.11258,             0.16807,           0.0055754,             0.71155,             0.58768,             0.60171,             0.19573,            0.096102,             0.12347,             0.00498,             0.00847,             0.00847,             0.00847
                  53,             0.11064,             0.16523,           0.0054055,             0.72652,             0.59403,             0.61086,             0.20148,             0.09566,             0.12354,           0.0048788,             0.00844,             0.00844,             0.00844
                  54,             0.10943,             0.16334,             0.00575,             0.73447,             0.59274,             0.60784,             0.20082,             0.09568,             0.12327,           0.0049217,             0.00841,             0.00841,             0.00841
                  55,             0.10995,             0.16384,           0.0056524,             0.72194,             0.58134,             0.60732,             0.20082,            0.095891,             0.12303,           0.0050257,             0.00838,             0.00838,             0.00838
                  56,             0.11135,             0.16683,           0.0053313,             0.72923,             0.60259,             0.61919,             0.20572,            0.095482,             0.12266,            0.004907,             0.00835,             0.00835,             0.00835
                  57,             0.10886,              0.1675,           0.0054921,             0.70578,             0.58947,             0.60374,             0.19843,            0.095805,             0.12263,           0.0049218,             0.00832,             0.00832,             0.00832
                  58,             0.11001,             0.15753,           0.0052822,             0.72292,             0.59038,             0.61027,             0.19936,            0.095603,             0.12304,           0.0049209,             0.00829,             0.00829,             0.00829
                  59,              0.1107,             0.15789,           0.0054775,              0.7187,             0.60915,             0.61755,             0.20347,            0.095623,             0.12337,           0.0049478,             0.00826,             0.00826,             0.00826
                  60,             0.11079,             0.15791,           0.0052808,             0.72066,             0.60007,             0.61519,             0.19995,            0.095716,             0.12324,           0.0048722,             0.00823,             0.00823,             0.00823
                  61,              0.1097,             0.16257,           0.0052122,             0.71825,             0.59955,             0.60717,             0.20085,            0.095488,             0.12358,           0.0048415,              0.0082,              0.0082,              0.0082
                  62,              0.1097,              0.1661,           0.0058375,             0.72003,              0.5993,             0.61233,             0.20065,            0.095683,             0.12343,           0.0048487,             0.00817,             0.00817,             0.00817
                  63,              0.1099,             0.16991,           0.0054653,             0.73388,               0.596,             0.61655,             0.20072,            0.095705,             0.12346,            0.004873,             0.00814,             0.00814,             0.00814
                  64,             0.10932,             0.16645,           0.0054231,             0.70967,             0.60427,             0.60717,             0.19988,            0.095532,             0.12355,           0.0048492,             0.00811,             0.00811,             0.00811
                  65,             0.10988,             0.15952,           0.0051359,             0.72775,             0.60154,             0.61137,             0.20327,            0.095562,             0.12346,           0.0048406,             0.00808,             0.00808,             0.00808
                  66,             0.11003,             0.16888,           0.0052988,             0.72367,             0.59019,             0.59811,             0.19335,            0.095993,             0.12331,           0.0047989,             0.00805,             0.00805,             0.00805
                  67,             0.10976,             0.15842,            0.005416,             0.72347,             0.59413,             0.60563,             0.19784,            0.095638,             0.12314,           0.0047746,             0.00802,             0.00802,             0.00802
                  68,             0.10862,             0.16152,           0.0054089,             0.71827,              0.6036,             0.60833,             0.19835,            0.095571,             0.12361,            0.004801,             0.00799,             0.00799,             0.00799
                  69,             0.10958,             0.16329,           0.0052594,             0.73148,             0.59773,             0.60836,             0.19868,            0.095643,             0.12356,           0.0047475,             0.00796,             0.00796,             0.00796
                  70,             0.10983,             0.16414,           0.0055396,             0.70436,             0.59327,             0.59553,             0.19308,            0.095683,             0.12384,           0.0047754,             0.00793,             0.00793,             0.00793
                  71,             0.10864,             0.16258,           0.0055601,              0.7126,             0.59795,             0.60463,             0.19606,             0.09549,             0.12407,           0.0047328,              0.0079,              0.0079,              0.0079
                  72,             0.10801,             0.16601,           0.0056022,             0.72737,             0.60605,             0.61535,             0.19777,            0.095554,             0.12404,           0.0047362,             0.00787,             0.00787,             0.00787
                  73,             0.10869,             0.16076,           0.0052719,              0.7203,             0.61433,             0.61433,             0.19754,            0.095714,             0.12442,           0.0047065,             0.00784,             0.00784,             0.00784
                  74,             0.10949,             0.16494,           0.0054363,             0.72295,              0.6053,             0.61084,             0.20042,            0.095427,             0.12381,           0.0048032,             0.00781,             0.00781,             0.00781
                  75,             0.10918,             0.15607,           0.0053029,             0.72831,             0.59107,             0.61013,             0.19899,            0.095464,             0.12416,            0.004805,             0.00778,             0.00778,             0.00778
                  76,             0.10858,             0.15954,            0.005418,             0.73473,             0.60365,             0.61707,             0.20165,            0.095484,             0.12409,           0.0047497,             0.00775,             0.00775,             0.00775
                  77,             0.10808,             0.16002,           0.0055098,             0.73467,             0.59744,             0.60691,              0.1981,            0.095568,             0.12444,           0.0047872,             0.00772,             0.00772,             0.00772
                  78,             0.10989,             0.16567,           0.0055257,             0.72288,             0.60735,             0.60787,             0.20091,            0.095275,             0.12382,           0.0047315,             0.00769,             0.00769,             0.00769
                  79,             0.10718,             0.15832,            0.005399,             0.74044,             0.60672,             0.61846,             0.19993,            0.095322,             0.12413,           0.0047113,             0.00766,             0.00766,             0.00766
                  80,             0.10899,             0.16674,           0.0052329,              0.7303,             0.60201,             0.61315,             0.19939,            0.095701,             0.12416,           0.0047502,             0.00763,             0.00763,             0.00763
                  81,             0.10826,             0.15429,           0.0053506,             0.73418,             0.61219,             0.61572,             0.19851,            0.095455,             0.12436,           0.0047024,              0.0076,              0.0076,              0.0076
                  82,             0.10883,             0.16782,           0.0052332,             0.71663,             0.60883,             0.60679,             0.19828,             0.09557,             0.12412,           0.0047567,             0.00757,             0.00757,             0.00757
                  83,             0.10871,             0.17099,           0.0054166,              0.7261,             0.60832,             0.60886,             0.19649,            0.095561,             0.12459,           0.0047104,             0.00754,             0.00754,             0.00754
                  84,             0.10947,             0.16399,           0.0056315,             0.72718,             0.60953,             0.61584,             0.19909,            0.095623,             0.12486,           0.0047044,             0.00751,             0.00751,             0.00751
                  85,             0.10791,             0.15896,           0.0053195,             0.73172,             0.61848,              0.6159,             0.20041,            0.095534,             0.12459,           0.0047573,             0.00748,             0.00748,             0.00748
                  86,             0.10937,             0.16729,           0.0052635,              0.7336,             0.61098,             0.61599,             0.20386,            0.095484,             0.12472,           0.0047448,             0.00745,             0.00745,             0.00745
                  87,             0.10744,             0.16326,           0.0052612,             0.73075,             0.60979,             0.61341,             0.20161,            0.095297,             0.12523,           0.0047022,             0.00742,             0.00742,             0.00742
                  88,             0.10801,             0.15996,           0.0052321,             0.72714,             0.62155,             0.61909,             0.20462,            0.095411,             0.12458,           0.0046467,             0.00739,             0.00739,             0.00739
